Rembrandt Harmensz van Rijn--Rembrandt Harmensz. van Rijn;Portrait of a man with arms akimbo;12.08.2009;33,274,996
Francis Bacon;Self-Portrait;11.14.2007;33,081,000
Gustav Klimt;Apple Tree I;11.08.2006;33,056,000
Claude Monet;Bassin aux nympheas et sentier au bord de l′eau;06.30.1998;32,991,502
Canaletto--Bernardo Bellotto;Venice, the Grand Canal, looking north-east from Palazzo Balbi to the Rialto Bridge;07.07.2005;32,648,762
Alberto Giacometti;Diego en chemise écossaise;11.05.2013;32,645,000
Jackson Pollock;Number 16;11.12.2013;32,645,000
Andy Warhol;Self portrait;05.12.2010;32,562,500
Andy Warhol;Double MarlonREPEAT SALE;05.13.2008;32,521,000
;Abstraktes Bild;02.13.2014;32,293,282
Camille Pissarro;Le boulevard Montmartre, matinée de printemps;02.05.2014;32,098,220
Willem de Kooning;Untitled VIII;11.12.2013;32,085,000
Pablo Picasso;Les femmes d′Alger (Version O)";11.10.1997;31,902,500
Roy Lichtenstein;Seductive Girl;11.12.2013;31,525,000
Pablo Picasso;Le sauvetageREPEAT SALE;05.07.2014;31,525,000
Andy Warhol;Liz #3 (Early colored Liz);11.11.2014;31,525,000
;Abstraktes Bild (648-3);11.12.2014;31,525,000
Mark Rothko;UntitledREPEAT SALE;05.12.2010;31,442,500
Clyfford Still;1947-Y-No. 2;11.09.2011;31,442,500
Gustav Klimt;Houses at Unterach on the Attersee;11.08.2006;31,376,000
Amedeo Modigliani;Jeanne Hébuterne (Devant une porte);11.04.2004;31,368,000
Amedeo Modigliani;Le Fils du conciergeREPEAT SALE;11.07.2006;31,096,000
Pablo Picasso;Mousquetaire à la pipe;11.06.2013;30,965,000
Amedeo Modigliani;Portrait du sculpteur Oscar MiestchaninoffREPEAT SALE;11.06.2007;30,841,000
Pablo Picasso;Femme accroupie au costume turc (Jacqueline)REPEAT SALE;11.06.2007;30,841,000
Edvard Munch;Girls on a BridgeREPEAT SALE;05.07.2008;30,841,000
Claude Monet;Le Palais ContariniREPEAT SALE;06.19.2013;30,836,572
Ed Ruscha;Smash;11.12.2014;30,405,000
Henry Moore;Reclining Figure: FestivalREPEAT SALE;02.07.2012;30,127,386
Andy Warhol;Six self portraits;05.14.2014;30,125,000
Cy Twombly;Untitled (New York)REPEAT SALE;02.11.2015;29,988,256
Johannes Vermeer;A young woman seated at the virginals;07.07.2004;29,934,770
Francis Bacon;Untitled (Pope);11.13.2012;29,762,500
Gino Severini;Danseuse;06.25.2008;29,600,370
Paul Cézanne;Bouilloire et fruits;12.07.1999;29,466,720
Jean-Michel Basquiat;UntitledREPEAT SALE;11.12.2013;29,285,000
;Abstraktes Bild (712)REPEAT SALE;05.13.2014;29,285,000
Willem de Kooning;Clamdigger;11.12.2014;29,285,000
Sir Lawrence Alma-Tadema;The meeting of Antony and Cleopatra: 41 BCREPEAT SALE;05.05.2011;29,202,500
Pablo Picasso;Femme assise dans un fauteuil;05.02.2012;29,202,500
Pablo Picasso;Tête de Femme (Dora Maar);11.07.2007;29,161,000
Gustav Klimt;Landhaus am Attersee;11.05.2003;29,128,000
Pablo Picasso;Femme assise, robe bleue;06.21.2011;29,043,342
Jean-Michel Basquiat;Untitled (diptych)REPEAT SALE;06.25.2013;28,888,188
;BlauREPEAT SALE;05.14.2014;28,725,000
Rembrandt Harmensz van Rijn--Rembrandt Harmensz. van Rijn;Portrait of a lady, aged 62, perhaps Aeltje Pietersdr. Uylenburgh, wife of Johannes Cornelisz. Sylvius, half-length, in black costume and a cap and collar;12.13.2000;28,676,152
;Wand (Wall);02.12.2014;28,663,260
Francis Bacon;Study for a portrait;06.28.2011;28,660,766
Henri Matisse;Bouquet de fleurs pour le quatorze juillet;05.05.2010;28,642,500
Jasper Johns;Flag;05.11.2010;28,642,500
Juan Gris;Violon et guitare;11.03.2010;28,642,500
Paul Cézanne;Nature Morte: Les grosses pommes;05.11.1993;28,602,500
Andrea Mantegna;Descent into Limbo;01.23.2003;28,568,000
Pablo Picasso;Claude et Paloma;11.04.2013;28,165,000
Jeff Koons;Popeye;05.14.2014;28,165,000
Roy Lichtenstein;Nude with Red Shirt;11.14.2012;28,082,500
Francis Bacon;Three Studies for Self-PortraitREPEAT SALE;05.13.2008;28,041,000
Andy Warhol;Lemon Marilyn;05.16.2007;28,040,000
Jean Honoré Fragonard--Jean-Honoré Fragonard;Portrait of François-Henri, 5th duc d′Harcourt;12.05.2013;28,015,316
Adriaen de Vries;A Bronze Bacchic Figure Supporting The Globe;12.11.2014;27,885,000
Gustav Klimt;Frauenbildnis, portrait of Ria Munk III;06.23.2010;27,786,368
George Wesley Bellows;Polo Crowd;12.01.1999;27,702,500
Piet Mondrian;Composition avec bleu, rouge, jaune et noir;02.23.2009;27,666,556
Pablo Picasso;Femme au costume turc dans un fauteuil;02.04.2014;27,653,536
Francis Bacon;Study for Portrait II;02.08.2007;27,627,812
Vincent van Gogh;L′homme est en merREPEAT SALE;02.05.2014;27,531,980
Andy Warhol;Self-portrait;05.11.2011;27,522,500
Alberto Giacometti;Grande femme debout IIREPEAT SALE;05.06.2008;27,481,000
Constantin Brancusi;Oiseau dans l′espace;05.04.2005;27,456,000
Francis Bacon;Study for Head of George Dyer;07.01.2008;27,433,052
Willem de Kooning;Untitled XXV;11.15.2006;27,120,000
Claude Monet;Nymphéas;05.06.2014;27,045,000
Mark Rothko;Untitled (Black on Maroon);05.15.2013;27,003,750
Andy Warhol;Liz no.5 (Early colored Liz);05.12.2011;26,962,500
Vincent van Gogh;Sous-bois;11.08.1995;26,952,500
Mark Rothko;Untitled;05.16.2007;26,920,000
Edward Hopper;Hotel WindowREPEAT SALE;11.29.2006;26,896,000
Amedeo Modigliani;Nu couché (sur le côté gauche);11.04.2003;26,887,500
Joan Miró;Painting-Poem (Le corps de ma brune puisque je l′aime comme ma chatte habillée en vert salade comme de la grêle c′est pareil)REPEAT SALE;02.07.2012;26,590,650
Christopher Wool;Apocalypse Now;11.12.2013;26,485,000
;A.B. Courbet;11.13.2013;26,485,000
Franz Kline;King Oliver;11.12.2014;26,485,000
Edgar Degas;Danseuses à la barreREPEAT SALE;06.24.2008;26,421,902
Jean-Michel Basquiat;UntitledREPEAT SALE;11.14.2012;26,402,500
Edouard Manet--Édouard Manet;La rue Mosnier aux drapeaux;11.14.1989;26,400,000
Vincent van Gogh;Autoportrait;05.15.1990;26,400,000
Edouard Manet--Édouard Manet;Les Courses au Bois de Boulogne;05.05.2004;26,328,000
Amedeo Modigliani;L′Amazone;05.07.2013;25,925,000
Jean-Michel Basquiat;Untitled (Yellow tar and feathers);11.13.2013;25,925,000
Alexander Calder;Poisson volant (Flying Fish);05.13.2014;25,925,000
Jeff Koons;Balloon Monkey (Orange);11.12.2014;25,925,000
Philip Guston;To Fellini;05.15.2013;25,883,750
Piet Mondrian;Composition with red, blue and grey;06.23.2014;25,870,094
Alberto Giacometti;La main;05.04.2010;25,842,500
Ren Yi;Huafeng people′s wishes to Emperor Yao;07.16.2011;25,804,704
Rembrandt Harmensz van Rijn--Rembrandt Harmensz. van Rijn;Saint James the Greater;01.25.2007;25,800,000
Jeff Koons;Balloon Flower (Magenta);06.30.2008;25,783,062
Paul Cézanne;Nature morte au melon vertREPEAT SALE;05.08.2007;25,520,000
Francis Bacon;Self-portrait (study)(triptych);05.11.2011;25,282,500
Willem de Kooning;Untitled V;11.13.2013;24,805,000
Pablo Picasso;Femme assise dans un fauteuil (Eva);11.10.1997;24,752,500
Pablo Picasso;Maternité;11.14.1988;24,750,000
Claude Monet;Le bassin aux nymphéasREPEAT SALE;11.02.2010;24,722,500
Francis Bacon;Seated Woman (Portrait of Muriel Belcher);12.12.2007;24,556,844
Zhang Daqian;Lotus and Mandarin ducks;05.31.2011;24,551,210
Jean Antoine Watteau;La Surprise: A couple embracing while a figure dressed as Mezzetin tunes a guitar;07.08.2008;24,417,178
Franz Marc;Weidende Pferde III (Grazing Horses III);02.05.2008;24,326,828
Claude Monet;Le portail (Soleil);05.10.2000;24,205,750
Paul Gauguin;Mata Mua (in olden times);05.09.1989;24,200,000
André Derain;Arbres à Collioure;06.22.2010;24,156,490
;Vierwaldstätter See (Lake Lucerne);02.11.2015;24,015,744
Pablo Picasso;Nu au collier;06.25.2002;23,944,552
Andy Warhol;Big Campbell′s soup can with can opener (Vegetable)REPEAT SALE;11.10.2010;23,882,500
Henri Matisse;Odalisque au fauteuil noirREPEAT SALE;02.03.2015;23,830,560
Pablo Picasso;Les Tuileries;06.25.1990;23,821,898
David Smith;Cubi XXVIII;11.09.2005;23,816,000
Kurt Schwitters;Ja - Was? - Bild;06.24.2014;23,781,982
Cui Ruzhuo;Landscape in snow (+ frontispiece);04.07.2014;23,725,710
Andy Warhol;MarlonREPEAT SALE;11.14.2012;23,714,500
Christopher Wool;If YouREPEAT SALE;05.13.2014;23,685,000
Jean-Michel Basquiat;Undiscovered genius of the Mississippi DeltaREPEAT SALE;05.14.2014;23,685,000
Roy Lichtenstein;Nude with Yellow Flower;05.15.2013;23,643,750
Gustav Klimt;Schloss Kammer am Attersee IIREPEAT SALE;10.09.1997;23,562,388
Andy Warhol;LizREPEAT SALE;11.13.2007;23,561,000
Jeff Koons;Hanging Heart (Magenta/Gold);11.14.2007;23,561,000
Yves Klein;MG 9;05.14.2008;23,561,000
Wu Guanzhong;Ten Thousand Miles of the Yangtze River;11.19.2011;23,548,498
Lucian Freud;Naked Portrait with ReflectionREPEAT SALE;06.30.2008;23,548,214
Pierre-Auguste Renoir;Dans les Roses (Madame Léon Clapisson);05.06.2003;23,528,000
John Singer Sargent;Group with Parasols (A siesta);12.01.2004;23,528,000
Joan Miró;Painting (Women, Moon, Birds);02.04.2015;23,413,412
Lyonel Feininger;Jesuiten III (Jesuits III);05.08.2007;23,280,000
Zeng Fanzhi;The Last Supper;10.05.2013;23,269,068
Jeff Koons;Cracked Egg (Magenta) (in 2 parts);02.13.2014;23,237,534
Paul Cézanne;Madame Cézanne au fauteuil jaune;05.12.1997;23,102,500
Pablo Picasso;L′Aubade;11.02.2011;23,042,500
Jackson Pollock;Number 28;05.08.2012;23,042,500
Wassily Kandinsky;Studie für Improvisation 8;11.07.2012;23,042,500
Wassily Kandinsky;Fugue;05.17.1990;22,990,000
Pablo Picasso;Portrait de femme (Dora Maar);05.06.2014;22,565,000
Francis Bacon;Figure Turning;05.13.2014;22,565,000
Norman Rockwell;The Rookie (Red Sox Locker Room);05.22.2014;22,565,000
;Untitled;11.12.2014;22,565,000
Max Beckmann;Selbstbildnis mit Horn (Self-Portrait with Horn);05.10.2001;22,555,750
Andy Warhol;Three Self-portraits;02.27.2008;22,550,242
Mark Rothko;Untitled;11.09.2010;22,482,500
Claude Monet;Les PeupliersREPEAT SALE;05.04.2011;22,482,500
Maurice de Vlaminck;Paysage de banlieueREPEAT SALE;05.04.2011;22,482,500
Barnett Newman;Onement V;05.08.2012;22,482,500
Henri Matisse;Portrait au manteau bleu;05.06.2008;22,441,000
Mark Rothko;Untitled;05.16.2007;22,440,000
Henri de Toulouse-Lautrec;La blanchisseuse;11.01.2005;22,416,000
Mark Rothko;Homage to Matisse;11.08.2005;22,416,000
Egon Schiele;Einzelne Häuser (Häuser mit Bergen) (recto); Monk I (fragment; verso) ;11.08.2006;22,416,000
Francis Bacon;Two studies for self-portraitREPEAT SALE;02.10.2015;22,409,162
Fernand Léger;La femme en rouge et vert;11.04.2003;22,407,500
Edward Burne-Jones;Love among the Ruins;07.11.2013;22,115,900
Yves Klein;Sculpture éponge bleue sans titre, SE 168;05.14.2013;22,005,000
;Abstraktes Bild, Dunkel (613-2);05.15.2013;21,963,750
;Abstraktes Bild (798-3);05.08.2012;21,810,500
Pablo Picasso;Jeune fille endormie;06.21.2011;21,799,182
Egon Schiele;Herbstsonne;06.20.2006;21,708,430
;Portrait de Paul éluardREPEAT SALE;02.10.2011;21,685,938
Cy Twombly;Poems to the sea (in 24 parts);11.13.2013;21,669,000
Francis Bacon;Three Studies for a Self-Portrait (3 works)REPEAT SALE;02.12.2013;21,661,584
Paul Gauguin;Deux femmes or La Chevelure fleurie;02.07.2006;21,656,598
;Abstraktes Bild;11.11.2014;21,445,000
Roy Lichtenstein;Reflections on the PromREPEAT SALE;11.12.2014;21,445,000
Yves Klein;Archisponge (Re11);11.11.2008;21,362,500
Pablo Picasso;Femmes lisant (Deux personnages);05.03.2011;21,362,500
Pablo Picasso;Les femmes d′Alger, version L;05.04.2011;21,362,500
Mark Rothko;Black Stripe (Orange, Gold and Black)REPEAT SALE;11.14.2012;21,362,500
Charles Willson Peale;George Washington at Princeton;01.21.2006;21,296,000
Clyfford Still;1947-R-No. 1 ;11.15.2006;21,296,000
Wassily Kandinsky;Studie zu Improvisation 3REPEAT SALE;06.18.2013;21,216,846
Willem de Kooning;Untitled XXXI;05.13.2014;21,165,000
Huang Zhou;Gaiety in the Grassland mounted;12.02.2013;21,141,440
Egon Schiele;Krumauer Landschaft (Stadt und Fluss) (Krumau Landscape: Town and River);06.23.2003;21,064,050
Mark Rothko;No. 7 (Dark Over Light)REPEAT SALE;11.13.2007;21,041,000
Piet Mondrian;New York/Boogie Woogie;11.04.2004;21,008,000
Edouard Manet--Édouard Manet;Jeune fille dans un jardin;11.09.2000;20,905,750
Pierre-Auguste Renoir;Baigneuse;11.13.1997;20,902,500
Clyfford Still;PH - 21;05.14.2013;20,885,000
Jackson Pollock;The Blue Unconscious;05.14.2013;20,885,000
Lucio Fontana;Concetto spaziale, La fine di DioREPEAT SALE;11.12.2013;20,885,000
;Abstraktes Bild (809-1)REPEAT SALE;11.12.2013;20,885,000
Juan Gris;Livre, pipe et verres;11.06.2008;20,802,500
Alberto Giacometti;Le Chat;05.04.2010;20,802,500
Henri Matisse;Danseuse dans le fauteuil, sol en damierREPEAT SALE;11.02.2010;20,802,500
;Abstraktes Bild;11.09.2011;20,802,500
Willem de Kooning;Interchange;11.08.1989;20,680,000
Barnett Newman;By twos;11.13.2013;20,605,000
Andy Warhol;Big electric chair;05.14.2014;20,437,000
Paul Cézanne;Vue sur L′Estaque et le Château d′If;02.04.2015;20,375,704
Vincent van Gogh;Le pont de Trinquetaille;06.29.1987;20,367,090
Vincent van Gogh;Le vieil If;11.14.1989;20,350,000
Lucio Fontana;Concetto Spaziale, La Fine di Dio;02.27.2008;20,343,394
Andy Warhol;Liz #1 (Early colored Liz);11.13.2013;20,325,000
Claude Monet;Sous les peupliers;11.04.2014;20,325,000
Piet Mondrian;Composition No. II with Blue and Yellow;02.04.2014;20,315,296
Andy Warhol;Sixteen Jackies (in 16 parts);05.10.2011;20,242,500
Piero Manzoni;Achrome;10.17.2014;20,218,814
Franz Marc;Der Wasserfall (Frauen unter einem Wasserfall) The Waterfall (Women under a Waterfall)REPEAT SALE;11.07.2007;20,201,000
Claude Monet;Nymphéas;06.24.2002;20,182,110
Claude Monet;Londres, le Parlement, effet de soleil dans le brouillard;11.03.2004;20,167,500
Jean-Michel Basquiat;UntitledREPEAT SALE;06.27.2012;20,162,318
Canaletto--Bernardo Bellotto;The Bucintoro at the Molo, Venice, on Ascension Day;07.06.2005;20,084,328
Pablo Picasso;Le miroirREPEAT SALE;11.07.1995;20,022,500
Cy Twombly;Untitled (Rome);02.12.2014;20,012,930
Wang Meng;Landscape;06.03.2010;20,004,392
Pierre-Auguste Renoir;Jeune fille au chat;05.17.1990;19,965,000
Willem de Kooning;Untitled XXIII;11.13.2007;19,921,000
;Struktur (2);06.27.2012;19,812,788
Vincent van Gogh;La Roubine du Roi;05.12.1999;19,802,500
Fernand Léger;Les cylindres colorés;02.04.2014;19,764,928
Francis Bacon;Self-portrait (3 studies);11.09.2011;19,682,500
Willem de Kooning;Abstraction;11.13.2012;19,682,500
Li Keran;Shaoshan-revolutionary sacred place of Chairman Mao′s former residence;05.12.2012;19,681,484
Francis Bacon;Study for Head of Lucian Freud;07.01.2014;19,622,034
Lucian Freud;Ib and her Husband;11.13.2007;19,361,000
Alberto Giacometti;L′homme qui chavire;11.04.2009;19,346,500
;Seestück (Leicht bewölkt)REPEAT SALE;05.08.2012;19,346,500
Damien Hirst;Lullaby Spring;06.21.2007;19,213,272
Henri Matisse;La séance du matinREPEAT SALE;05.07.2014;19,205,000
Pablo Picasso;La Grue;05.07.2008;19,193,000
Willem de Kooning;Woman (Blue Eyes)REPEAT SALE;05.15.2013;19,163,750
Edward Hopper;Blackwell′s Island;05.23.2013;19,163,750
Amedeo Modigliani;Jeanne hébuterne (Au chapeau)REPEAT SALE;11.02.2010;19,122,500
Paul Cézanne;Joueur de cartes;05.01.2012;19,122,500
Henri Matisse;Les PivoinesREPEAT SALE;05.01.2012;19,122,500
Willem de Kooning;Untitled I;05.16.2007;19,080,000
Qian Weicheng;Yandang mountain;06.03.2010;19,020,568
Auguste Rodin;Eve, grand modèle-version sans rocherREPEAT SALE;05.06.2008;18,969,000
Edgar Degas;Petite danseuse de quatorze ansREPEAT SALE;02.03.2009;18,953,890
